code,name,cname,lower_name,code_full
HEA,Herat,赫拉特,herat,AFG000HEA
KBL,Kabul,喀布尔,kabul,AFG000KBL
KDH,Kandahar,坎大哈,kandahar,AFG000KDH
MZR,Mazar-i Sharif,马扎里沙里夫,mazar-i sharif,AFG000MZR
BGO,Bengo,本戈,bengo,AGO000BGO
BGU,Benguela,本格拉,benguela,AGO000BGU
BIE,Bie,比耶,bie,AGO000BIE
CAB,Cabinda,卡宾达,cabinda,AGO000CAB
CCU,Cuando Cubango,宽多库邦戈,cuando cubango,AGO000CCU
CNN,Cunene,库内内,cunene,AGO000CNN
CNO,Cuanza Norte,北宽扎,cuanza norte,AGO000CNO
CUS,Cuanza Sul,南宽扎,cuanza sul,AGO000CUS
HUA,Huambo,万博,huambo,AGO000HUA
HUI,Huila,威拉,huila,AGO000HUI
LNO,Lunda Norte,北隆达,lunda norte,AGO000LNO
LSU,Lunda Sul,南隆达,lunda sul,AGO000LSU
LUA,Luanda,罗安达,luanda,AGO000LUA
MAL,Malanje,马兰热,malanje,AGO000MAL
MOX,Moxico,莫希科,moxico,AGO000MOX
NAM,Namibe,纳米贝,namibe,AGO000NAM
UIG,Uige,威热,uige,AGO000UIG
ZAI,Zaire,扎伊尔,zaire,AGO000ZAI
BR,Berat,培拉特,berat,ALB0000BR
DI,Diber,迪勃拉,diber,ALB0000DI
DR,Durres,都拉斯,durres,ALB0000DR
EL,Elbasan,爱尔巴桑,elbasan,ALB0000EL
FR,Fier,费里,fier,ALB0000FR
GJ,Gjirokaster,吉诺卡斯特,gjirokaster,ALB0000GJ
KO,Korce,科尔察,korce,ALB0000KO
KU,Kukes,库克斯,kukes,ALB0000KU
LE,Lezhe,莱什,lezhe,ALB0000LE
SH,Shkoder,斯库台,shkoder,ALB0000SH
TR,Tirane,地拉那,tirane,ALB0000TR
VL,Vlore,发罗拉,vlore,ALB0000VL
2,Canillo,卡尼略,canillo,AND000002
3,Encamp,恩坎普,encamp,AND000003
4,La Massana,马萨纳,la massana,AND000004
5,Ordino,奥尔迪诺,ordino,AND000005
6,Sant Julia de Laria,圣胡利娅－德洛里亚,sant julia de laria,AND000006
7,Andorra la Vella,安道尔城,andorra la vella,AND000007
8,Escaldes-Engordany,莱塞斯卡尔德－恩戈尔达,escaldes-engordany,AND000008
AL,Al l'Ayn,艾因,al l'ayn,ARE0000AL
AZ,Abu Dhabi,阿布扎比,abu dhabi,ARE0000AZ
DU,Dubai,迪拜,dubai,ARE0000DU
SH,Ash Shariqah,沙迦,ash shariqah,ARE0000SH
AFA,San Rafael,圣拉斐尔,san rafael,ARG000AFA
BHI,Bahia Blanca,布兰卡港,bahia blanca,ARG000BHI
BUE,Buenos Aires,布宜诺斯艾利斯,buenos aires,ARG000BUE
CNQ,Corrientes,科连特斯,corrientes,ARG000CNQ
COC,Concordia,肯考迪娅,concordia,ARG000COC
COR,Cordoba,科尔多瓦,cordoba,ARG000COR
CRD,Comodoro Rivadavia,里瓦达维亚海军准将城,comodoro rivadavia,ARG000CRD
CTC,Catamarca,卡塔马卡,catamarca,ARG000CTC
FMA,Formosa,福莫萨,formosa,ARG000FMA
IRJ,La Rioja,拉里奥哈,la rioja,ARG000IRJ
JUJ,Jujuy,胡胡伊,jujuy,ARG000JUJ
LPG,La Plata,拉普拉塔,la plata,ARG000LPG
LUQ,San Luis,圣路易斯,san luis,ARG000LUQ
MDQ,Mar del Plata,马德普拉塔,mar del plata,ARG000MDQ
MDZ,Mendoza,门多萨,mendoza,ARG000MDZ
NQN,Neuquen,内乌肯,neuquen,ARG000NQN
PRA,Parana,巴拉那,parana,ARG000PRA
PSS,Posadas,波萨达斯,posadas,ARG000PSS
RCU,Rio Cuarto,里奥夸尔托,rio cuarto,ARG000RCU
REL,Trelew,特雷利乌,trelew,ARG000REL
RES,Resistencia,雷西斯滕匹亚,resistencia,ARG000RES
RGL,Rio Gallegos,里奥加耶戈斯,rio gallegos,ARG000RGL
ROS,Rosario,罗萨里奥,rosario,ARG000ROS
RSA,Santa Rosa,圣罗莎,santa rosa,ARG000RSA
RWO,Rawson,罗森,rawson,ARG000RWO
SDE,Santiago del Estero,圣地亚哥-德尔埃斯特罗,santiago del estero,ARG000SDE
SFN,Santa Fe,圣菲,santa fe,ARG000SFN
SLA,Salta,萨尔塔,salta,ARG000SLA
SMC,San Miguel de Tucuman,圣米格尔-德图库曼,san miguel de tucuman,ARG000SMC
SNS,San Nicolas,圣尼古拉斯,san nicolas,ARG000SNS
UAQ,San Juan,圣胡安,san juan,ARG000UAQ
